Date,Incident Narrative,Incident type,Incident impact,(Presumed) perpetrator,Number of Fatalities,Countrywide/ multiple locations,State,Location,Specifics about the location,Feature,Latitude,Longitude,Maxar Imagery Status (since March),ReadyToMap,Satellite imagery request,Source 1,URL Link to source 1,Source 2,URL Link to source 2,Source 3,URL Link to Source 3,,
5/4/2024,"For nine consecutive days, that is from around April 27 to May 6, the Sudan Armed Forces (SAF)  and the RSF have exchanged artillery shelling,  using Katyusha rockets and various shells, in Babanusa, West Kordofan. The fighting further destroyed the city that many residents had already left.
According to sources consulted by Sudan War Monitor, the SAF were inside the 22nd Infantry Division base, the last military installation of the Sudan Army’s control in West Kordofan, while the RSF troops fought from the outskirts of the city, sheltering  in residents’ homes and under trees to avoid aircraft bombardment. According to the Sudan War Monitor’s sources, the bombing damaged many civilians’ homes in which RSF fighters were sheltering. The neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood were the places where homes were most completely and partially damaged. In addition, government institutions and facilities, such as the buildings of the Sudan Railway Authority (Western Region Headquarters), some schools, and water sources were also damaged.
On May 3rd, according to information received from the Babanusa Emergency Room, four members of the same family were killed as a result of the  violent artillery shelling carried out by the RSF on the Sudan Armed Forces who control the 22nd Infantry Division Headquarters. The family had sought refuge in the 22nd Infantry Division. As a reminder, Babanusa has been the theater of several violent clashes between the RSF and the Sudanese Army since 2023.
According to the same sources the shelling also, injured or killed a large number of livestock as well as fighters on both the RSF and SAF sides. At least, three RSF fighters and two Army soldiers of the Artillery Corps were killed. So, in total, besides the destruction of homes, there were at least  5 combattants and 4 civilians killed.","Military operations (battle, shelling)",Agricultural production impacted,Both SAF & RSF,9,,West Kordofan,"Babanusa, 22 Infantry Division",,"Neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood ",,,,,Yes,Sudan War Monitor,https://sudanwarmonitor.com/p/babanusa-artillery-battle?r=3pt4kb&utm_campaign=post&utm_medium=web,,,,,,
5/5/2024,"For nine consecutive days, that is from around April 27 to May 6, the Sudan Armed Forces (SAF)  and the RSF have exchanged artillery shelling,  using Katyusha rockets and various shells, in Babanusa, West Kordofan. The fighting further destroyed the city that many residents had already left.
According to sources consulted by Sudan War Monitor, the SAF were inside the 22nd Infantry Division base, the last military installation of the Sudan Army’s control in West Kordofan, while the RSF troops fought from the outskirts of the city, sheltering  in residents’ homes and under trees to avoid aircraft bombardment. According to the Sudan War Monitor’s sources, the bombing damaged many civilians’ homes in which RSF fighters were sheltering. The neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood were those where homes were most completely and partially damaged. In addition, government institutions and facilities, such as the buildings of the Sudan Railway Authority (Western Region Headquarters), some schools, and water sources were also damaged.
On May 3rd, according to information received from the Babanusa Emergency Room, four members of the same family were killed as a result of the  violent artillery shelling carried out by the RSF on the Sudan Armed Forces who control the 22nd Infantry Division Headquarters. The family had sought refuge in the 22nd Infantry Division. As a reminder, Babanusa has been the theater of several violent clashes between the RSF and the Sudanese Army since 2023.According to the same sources the shelling also, injured or killed a large number of livestock as well as fighters on both the RSF and SAF sides. At least, three RSF fighters and two Army soldiers of the Artillery Corps were killed. So, in total, besides the destruction of homes, there were at least  5 combattants and 4 civilians killed.","Military operations (battle, shelling)",Human rights violations,Both SAF & RSF,,,West Kordofan,"Babanusa, 22 Infantry Division",,"Neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood ",,,,,Yes,Sudan War Monitor,https://sudanwarmonitor.com/p/babanusa-artillery-battle?r=3pt4kb&utm_campaign=post&utm_medium=web,,,,,,
5/5/2024,"On Sunday, May 5th ,Sudanese warplanes conducted airstrikes  targeting agricultural fields where RSF elements are reported located, near Shabarqa, a  critical RSF stronghold and strategic town that is located approximately 25 kilometres East of Wad Madani, El Gezira (aka Al Jazeera) state. Capturing Shabarqa, according to local sources, would open the path towards the Hantoub Bridge on the Blue Nile for the Army.","Military operations (battle, shelling)",Agricultural production impacted,SAF,,,El Gazira,Shabarqa,,Town,14.257,33.6483,,,,Sudan Tribune,https://sudantribune.com/article285233/,,,,,,
5/6/2024,"For nine consecutive days, that is from around April 27 to May 6, the Sudan Armed Forces (SAF)  and the RSF have exchanged artillery shelling,  using Katyusha rockets and various shells, in Babanusa, West Kordofan. The fighting further destroyed the city that many residents had already left.
According to sources consulted by Sudan War Monitor, the SAF were inside the 22nd Infantry Division base, the last military installation of the Sudan Army’s control in West Kordofan, while the RSF troops fought from the outskirts of the city, sheltering  in residents’ homes and under trees to avoid aircraft bombardment. According to the Sudan War Monitor’s sources, the bombing damaged many civilians’ homes in which RSF fighters were sheltering. The neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood were the places where homes were most completely and partially damaged. In addition, government institutions and facilities, such as the buildings of the Sudan Railway Authority (Western Region Headquarters), some schools, and water sources were also damaged.
On May 3rd, according to information received from the Babanusa Emergency Room, four members of the same family were killed as a result of the  violent artillery shelling carried out by the RSF on the Sudan Armed Forces who control the 22nd Infantry Division Headquarters. The family had sought refuge in the 22nd Infantry Division. As a reminder, Babanusa has been the theater of several violent clashes between the RSF and the Sudanese Army since 2023.
According to the same sources the shelling also, injured or killed a large number of livestock as well as fighters on both the RSF and SAF sides. At least, three RSF fighters and two Army soldiers of the Artillery Corps were killed. So, in total, besides the destruction of homes, there were at least  5 combattants and 4 civilians killed.","Military operations (battle, shelling)",Human rights violations,Both SAF & RSF,,,West Kordofan,"Babanusa, 22 Infantry Division",,"Neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood ",,,,,,Sudan War Monitor,https://sudanwarmonitor.com/p/babanusa-artillery-battle?r=3pt4kb&utm_campaign=post&utm_medium=web,,,,,,
5/7/2024,"Early in the morning of the May 7th, the Sudanese Army initiated an offensive and recaptured the Jabal al-Ain military camp,  in  the strategic city of Al-Obeid, capital of North Kordofan State. The camp , which  served as the primary training facility for the Fifth Infantry Division, had been controlled by the RSF since the beginning of the war.  Whereas the RSF claims to still control the camp, the army released  a video confirming their victory and reporting significant enemy casualties and logistical losses.","Military operations (battle, shelling)",,Both SAF & RSF,,,North Kordofan,El-Obeid,,city,13.1782,30.2167,,,Yes,Sudan Tribune,https://sudantribune.com/article285307/,,,,,,
5/8/2024,"The  Sudan Armed Forces conducted air strikes on RSF positions in Al-Rahad and Umm Rawaba, North Kordofan, for a second consecutive day, and  reportedly caused civilian casualties and significant property damage.","Military operations (battle, shelling)",,SAF,Und.,,North Kordofan,Al-Rahad,,City,12.7181,30.6488,,,Yes,Sudan Tribune,https://sudantribune.com/article285307/,,,,,,
5/8/2024,"The  Sudan Armed Forces conducted air strikes on RSF positions in Al-Rahad and Umm Rawaba, North Kordofan, for a second consecutive day, and  reportedly caused civilian casualties and significant property damage.","Military operations (battle, shelling)",,SAF,Und.,,North Kordofan,Umm Rawaba,,Town,12.9028,31.2283,,,Yes,Sudan Tribune,https://sudantribune.com/article285307/,,,,,,
5/8/2024,"On May 8, the International Service for Human Rights denounced various forms of violence targeting civil society activists, lawyers, journalists, and humanitarian aid workers.  ""Dozens of activists and local volunteers were arrested, threatened and prosecuted in several states during the last few weeks. The states of Sennar, Algadaref, and River Nile are targeting activists who support local communities amid approaching famine. Lawyers, journalists, and local humanitarian workers were prevented from working, their homes were raided, and family members were detained or threatened.""",Violent crackdowns on protesters/opponents/civil rights abuse,Human rights violations,,,Countrywide,,,,,,,,,,International Service for Human Rights,https://ishr.ch/latest-updates/sudan-closure-of-civic-space-crackdown-on-humanitarian-workers-and-activists/,,,,,,
5/9/2024,"On May 9,  Sudan Tribune reported that Salah Al-Tayeb Musa, the head of  the local branch of the Sudanese Congress Party (SCoP) in  Al-Qurashi, Al-Jazira State was reportedly assassinated by  the Military Intelligence. ",Willful killing of civilians,,Military Intelligence (suspected),1,,El Gazira,Al-Qurashi ,,Local Region,14.2818,32.6277,,,,Sudan Tribune,https://sudantribune.com/article285391/,,,,,,
5/9/2024,"On May 9, Sudan Tribune reported that  the Rapid Support Forces (RSF) assassinated Osman Qismallah Ali Abbas, a medical assistant who has been volunteering  in a health center in  Barakat, near Wad Madani,  despite the RSF control of the locality. 

",Willful killing of civilians,,RSF (suspected),1,,El Gazira,Barakat,,Town,14.3143,33.5348,,,,Sudan Tribune,https://sudantribune.com/article285391/,,,,,,
5/9/2024,"On May 9, in Khartoum Bahri, the Resistance Committees reported to Sudan Tribune  the deaths of Qais Younis Ali Rakiza and Talab Hamad al-Sayyid Babikir, who were tortured in RSF detention centres. 

",Willful killing of civilians,Human rights violations,RSF ,1,,Khartoum,Bahri,,city,15.6569,32.5486,,,,Sudan Tribune,https://sudantribune.com/article285391/,,,,,,
5/9/2024,"On May 9, in Khartoum Bahri, the Resistance Committees reported to Sudan Tribune that there was a drone strike on the central market in the Shambat suburb, in Khartoum Bahri, killing at least two civilians. 

",Indiscriminate use of weapons,Human rights violations,Unknown,2,,Khartoum,Shambat,,Neighborhood,15.6587,32.5302,,,,Sudan Tribune,https://sudantribune.com/article285391/,,,,,,
5/9/2024,"On May 9, Sudan Tribune reported that the Rapid Support Forces (RSF) have kidnapped  Ali Bishara Mor Turk, a member of the Dar es Salaam Emergency Room, Block 1, in Um Badda locality, west of Omdurman, and taken him to an unknown destination. The RSF was reported to  control the majority of Um Badda, and to have looted and vandalized all main markets, causing severe food shortages. ",Deliberate targeting of noncombattant,Human rights violations,RSF,,,Khartoum,Um Badda (Omdurman),,Town,15.6859,32.3108,,,,Sudan Tribune,https://sudantribune.com/article285391/,,,,,,
5/9/2024,"After three months of security incidents, including looting, harassment and obstructions, the Medecins Sans Frontieres teams suspended on May 9 their work at the Madani Teaching Hospital, ""the only functional hospital for the hundreds of thousands of people in dire need of medical assistance in the capital of Al Jazirah state, Sudan"".",Deliberate targeting of noncombattant,Human rights violations,,,,El Gazira,Madani Teaching Hospital,,Madani Teaching Hospital,14.3978,33.5257,,,,Relief Web,https://reliefweb.int/report/sudan/msf-forced-suspend-essential-support-wad-madani-due-obstructions-and-harassment-enar,,,,,,
5/10/2024,"On Friday, May 10, in North Kordofan, three people were killed in an RSF attack in Jebel El Dayer during Friday prayers. “The victims had stayed in the village to protect their homes after most residents were displaced to South Kordofan and White Nile state” , according to a resident who spoke with Radio Dabanga.",Deliberate targeting of noncombattant,Human rights violations,RSF,,,North Kordofan,Jebel El Dayer,,,,,,,,Radio Dabanga,https://www.dabangasudan.org/en/all-news/article/historic-khartoum-palace-set-ablaze-by-sudan-army-airstrike,,,,,,
5/10/2024,"On May 10, In El Gezira, an RSF attack on El Harga Noureldin village, east of Wad Madani, killed at least 13 people and injured several others. Witnesses told Radio Dabanga that the RSF entered the village with heavily armed combat vehicles and armed personnel and launched a violent attack against residents. “The real death toll exceeds the reported numbers. There are bodies still lying in the streets and inside houses”, a resident said. He added that RSF members forcibly expelled residents from their homes and plundered their belongings.",Deliberate targeting of noncombattant,Human rights violations,RSF,,,El Gazira,El Harga Noureldin ,,village,,,,,,Radio Dabanga,https://www.dabangasudan.org/en/all-news/article/historic-khartoum-palace-set-ablaze-by-sudan-army-airstrike,,,,,,
5/10/2024,"On Friday, May 10, there was heavy fighting in El Fasher, North Darfur between the RSF and the SAF who are supported by the Joint Force of Armed Struggle Movements. The two parties accused each other of initiating the attack and issued contradictory statements, each claiming to have inflicted heavy losses on the enemy. Sources (field commanders and eyewitnesses) consulted by Sudan Tribune reported the following: i) intense fighting with various types of weaponry in the neighborhoods of Al-Manhal School, Al-Borsa, Al-Kahraba, Al-Safa, Al-Jeel, and Factories; ii) numerous casualties, including civilian deaths and injuries. According to UNOCHA, unconfirmed reports indicated on May 12 that the fighting had left at least 27 civilians dead and 130 injured.",Indiscriminate use of weapons,Human rights violations,RSF & SAF/Joint Force,27,,North Darfur,El Fasher,,city,13.6198,25.3549,,,,UNOCHA,https://reports.unocha.org/en/country/sudan/flash-update/2pfGaPaWYC7FPkzePNJkZH/,Sudan Tribune,https://sudantribune.com/article285422/,Sudan War Monitor,https://sudanwarmonitor.com/p/fresh-fighting-in-north-darfur-capital?r=3g6p40&utm_campaign=post&utm_medium=web,Reliefweb,https://reliefweb.int/report/sudan/sudan-conflict-al-fasher-north-darfur-flash-update-no-01-12-may-2024-enar
5/10/2024,"On Friday, May 10, there was heavy fighting in El Fasher, North Darfur between the RSF and the SAF who are supported by the Joint Force of Armed Struggle Movements. The two parties accused each other of initiating the attack and issued contradictory statements, each claiming to have inflicted heavy losses on the enemy. Sources (field commanders and eyewitnesses) consulted by Sudan Tribune reported the following: i) intense fighting with various types of weaponry in the neighborhoods of Al-Manhal School, Al-Borsa, Al-Kahraba, Al-Safa, Al-Jeel, and Factories; ii) numerous casualties, including civilian deaths and injuries. According to UNOCHA, unconfirmed reports indicated on May 12 that the fighting had left at least 27 civilians dead and 130 injured.",,,,,,North Darfur,El Fasher,,Housing near Dairy Factory,11.33476864,27.79913173,,,,,,,,,,,
5/10/2024,"On Friday, May 10, there was heavy fighting in El Fasher, North Darfur between the RSF and the SAF who are supported by the Joint Force of Armed Struggle Movements. The two parties accused each other of initiating the attack and issued contradictory statements, each claiming to have inflicted heavy losses on the enemy. Sources (field commanders and eyewitnesses) consulted by Sudan Tribune reported the following: i) intense fighting with various types of weaponry in the neighborhoods of Al-Manhal School, Al-Borsa, Al-Kahraba, Al-Safa, Al-Jeel, and Factories; ii) numerous casualties, including civilian deaths and injuries. According to UNOCHA, unconfirmed reports indicated on May 12 that the fighting had left at least 27 civilians dead and 130 injured.",,,,,,North Darfur,Al Salam South,,"Babanusa, Al Salam neighborhood, in front of the leadership",11.3210281,27.81422064,,,,,,,,,,,
5/10/2024,"On Friday, May 10, there was heavy fighting in El Fasher, North Darfur between the RSF and the SAF who are supported by the Joint Force of Armed Struggle Movements. The two parties accused each other of initiating the attack and issued contradictory statements, each claiming to have inflicted heavy losses on the enemy. Sources (field commanders and eyewitnesses) consulted by Sudan Tribune reported the following: i) intense fighting with various types of weaponry in the neighborhoods of Al-Manhal School, Al-Borsa, Al-Kahraba, Al-Safa, Al-Jeel, and Factories; ii) numerous casualties, including civilian deaths and injuries. According to UNOCHA, unconfirmed reports indicated on May 12 that the fighting had left at least 27 civilians dead and 130 injured.",,,,,,North Darfur,Abu Ismail South,,School in Abu Ismail located in the southern part of Babanusa,11.32033507,27.799653,,,,,,,,,,,
5/10/2024,"On Friday, May 10, there was heavy fighting in El Fasher, North Darfur between the RSF and the SAF who are supported by the Joint Force of Armed Struggle Movements. The two parties accused each other of initiating the attack and issued contradictory statements, each claiming to have inflicted heavy losses on the enemy. Sources (field commanders and eyewitnesses) consulted by Sudan Tribune reported the following: i) intense fighting with various types of weaponry in the neighborhoods of Al-Manhal School, Al-Borsa, Al-Kahraba, Al-Safa, Al-Jeel, and Factories; ii) numerous casualties, including civilian deaths and injuries. According to UNOCHA, unconfirmed reports indicated on May 12 that the fighting had left at least 27 civilians dead and 130 injured.",,,,,,North Darfur,Al Safaha East,,"Mosque in Al Safaha District, located in the eastern part of Babanusa",11.33668443,27.8169065,,,,,,,,,,,
5/10/2024,"On Friday, May 10, there was heavy fighting in El Fasher, North Darfur between the RSF and the SAF who are supported by the Joint Force of Armed Struggle Movements. The two parties accused each other of initiating the attack and issued contradictory statements, each claiming to have inflicted heavy losses on the enemy. Sources (field commanders and eyewitnesses) consulted by Sudan Tribune reported the following: i) intense fighting with various types of weaponry in the neighborhoods of Al-Manhal School, Al-Borsa, Al-Kahraba, Al-Safa, Al-Jeel, and Factories; ii) numerous casualties, including civilian deaths and injuries. According to UNOCHA, unconfirmed reports indicated on May 12 that the fighting had left at least 27 civilians dead and 130 injured.",,,,,,North Darfur,Al Tarbiya,,Ayman's shop in the Tarbiya district,11.32435434,27.81169266,,,,,,,,,,,
5/12/2024,"According to UN emergency relief chief Martin Griffiths, a “strike” damaged the roof of the intensive care unit at Southern Hospital in El Fasher Town – the only working hospital in North Darfur state – where medical supplies are running dangerously low.",Indiscriminate use of weapons,Human rights violations,Unknown,2,,North Darfur,El Fasher,Southern Hospital,Southern Hospital,13.6092,25.358,,,Yes,Twitter (X),https://x.com/UNReliefChief/status/1789742699043561668,UN News,https://news.un.org/en/story/2024/05/1149641,Human Rights Watch,https://www.hrw.org/news/2024/05/17/world-should-rally-halt-unfolding-atrocities-darfur,,
5/12/2024,"On May 12, in El Obeid, North Kordofan, at least 15 people were killed in the morning  an RSF attack on the Abu Haraz market in the western part of El Obeid, the state capital.
Witnesses told Dabanga that residents confronted the RSF during the attack, leading to casualties. The RSF continues to deny involvement in attacks on civilians in North Kordofan villages, instead accusing military intelligence affiliated with the SAF of perpetrating the violence.",Deliberate targeting of noncombattant,Human rights violations,Unclear but RSF suspected,15,,North Kordofan,El Obeid,Abu Haraz Market west of El Obeid,Abu Haraz Market,12.9645,29.8549,,,,Radio Dabanga,https://www.dabangasudan.org/en/all-news/article/historic-khartoum-palace-set-ablaze-by-sudan-army-airstrike,,,,,,
